lag 000,semivar 000,lag 015,semivar 015,lag 030,semivar 030,lag 045,semivar 045,lag 060,semivar 060,lag 075,semivar 075,lag 090,semivar 090,lag 105,semivar 105,lag 120,semivar 120,lag 135,semivar 135,lag 150,semivar 150,lag 165,semivar 165
7.57,0.4252,7.679,0.41582,7.713,0.4279,7.791,0.38265,7.636,0.45273,7.597,0.43865,7.62,0.44156,7.719,0.39805,7.765,0.39275,7.677,0.37042,7.625,0.37012,7.609,0.33996
13.954,0.47937,14.408,0.47453,14.464,0.50112,14.154,0.49507,14.104,0.55971,14.413,0.532,14.524,0.53824,14.085,0.48384,14.083,0.47287,14.413,0.43992,14.48,0.42862,14.091,0.44249
20.76,0.52648,21.179,0.52528,21.258,0.54627,20.935,0.54148,20.915,0.59532,21.277,0.58642,21.234,0.59139,20.92,0.56176,20.876,0.55429,21.36,0.52269,21.285,0.49164,20.874,0.49889
27.401,0.50908,28.032,0.52266,28.097,0.53,27.588,0.56892,27.559,0.60078,28.125,0.65966,28.148,0.6424,27.717,0.6006,27.637,0.56835,28.15,0.56471,28.117,0.52378,27.5,0.51277
34.381,0.53727,35.005,0.51353,35.132,0.57535,34.48,0.62415,34.504,0.67427,35.136,0.73102,35.164,0.71436,34.462,0.6905,34.477,0.65359,35.063,0.59609,35.035,0.5541,34.426,0.55606
41.356,0.60043,41.812,0.59744,41.858,0.6158,41.543,0.63022,41.64,0.74127,41.892,0.76314,41.89,0.76524,41.415,0.69676,41.492,0.70852,41.908,0.62609,41.823,0.5583,41.455,0.57215
48.117,0.59607,48.642,0.60871,48.666,0.65014,48.496,0.70379,48.578,0.75317,48.655,0.773,48.63,0.77457,48.436,0.77147,48.402,0.70546,48.634,0.65306,48.601,0.56967,48.187,0.56387
55.255,0.63129,55.761,0.66107,55.734,0.6864,55.54,0.78157,55.722,0.78403,55.772,0.771,55.738,0.81522,55.533,0.79608,55.547,0.76721,55.681,0.65633,55.666,0.61891,55.28,0.60212
62.918,0.63972,62.907,0.68142,62.848,0.75162,62.938,0.82629,63.053,0.78191,62.949,0.7602,62.887,0.83316,63.089,0.81685,63.073,0.77929,62.789,0.65983,62.798,0.59895,62.916,0.59284
69.969,0.64052,70.003,0.71432,69.941,0.78847,69.981,0.80539,70.064,0.77385,70.066,0.78927,70.072,0.84959,70.091,0.85615,70.08,0.82738,69.943,0.71491,69.941,0.61203,70.076,0.61648
77.093,0.64693,76.958,0.75251,76.905,0.80933,77.075,0.83095,77.094,0.80905,77.038,0.82833,77.149,0.92759,77.028,0.86434,77.034,0.86764,77.117,0.72999,77.146,0.64297,77.076,0.64659
84.398,0.70374,83.782,0.79188,83.806,0.821,84.197,0.86929,84.214,0.84476,83.834,0.77617,83.929,0.89425,84.102,0.87304,84.283,0.87721,84.005,0.76685,83.965,0.70809,84.266,0.65883
91.328,0.80338,90.775,0.76723,90.846,0.8699,91.106,0.89552,91.062,0.84233,90.767,0.85075,90.806,0.89712,90.974,0.89578,91.026,0.89417,90.764,0.78267,90.75,0.6552,91.132,0.67184
98.527,0.7271,97.908,0.77893,97.967,0.91358,98.215,0.89016,98.124,0.87628,97.917,0.86726,97.956,0.9302,98.072,0.90875,98.117,0.93314,97.723,0.83902,97.725,0.73621,98.396,0.74454
105.364,0.72202,104.973,0.85248,105.043,0.90366,105.176,0.8587,104.946,0.80515,105.079,0.83785,105.144,0.93227,105.031,0.93956,105.206,0.93909,104.879,0.89431,104.859,0.7468,105.424,0.76226
112.135,0.75385,111.938,0.91403,111.997,0.91517,111.929,0.87638,111.912,0.84656,112.106,0.8611,112.214,0.93893,112.027,1.00523,111.978,0.94157,111.99,0.94634,111.953,0.77299,112.175,0.85004
119.119,0.76725,118.938,0.85772,118.951,0.9297,118.962,0.84155,118.928,0.80799,119.055,0.83678,119.093,0.89672,118.975,1.09921,118.979,0.97235,119.062,1.00741,118.96,0.81819,119.05,0.86199
125.992,0.87811,125.915,0.96876,125.96,0.84966,125.911,0.79579,125.978,0.79829,125.927,0.86825,125.965,0.9881,125.972,1.04662,126.021,1.04783,126.037,1.14704,125.853,0.83973,125.962,0.86631
132.876,0.79621,132.895,0.95864,132.922,0.86258,132.863,0.75092,133.011,0.86278,132.835,0.87406,132.903,1.02385,133.01,1.09434,132.944,1.08575,132.929,1.14182,132.801,0.9841,132.809,0.79389
139.874,0.80372,139.847,0.93985,139.899,0.91299,139.962,0.73303,140.022,0.83071,139.961,0.8667,139.972,1.02057,140.021,1.01861,139.99,1.06978,139.866,1.19906,139.832,1.09264,139.899,0.73102
146.671,1.00156,146.918,0.87126,146.921,0.8633,147,0.71046,147.061,0.84582,147.084,0.85521,147.091,0.98615,147.1,1.11607,147.02,1.12832,146.842,1.22597,146.91,1.16288,146.838,0.80625
153.706,1.10985,154.02,0.95103,153.907,0.83273,154.07,0.72137,154.102,0.83355,154.141,0.86729,154.033,0.95464,154.142,1.1032,153.952,1.16211,153.893,1.2589,154.055,1.38287,153.654,0.87745
160.876,1.00859,161.023,0.86735,160.9,0.80145,161.093,0.71872,161.058,0.77926,161.073,0.88336,160.998,0.97974,161.029,1.191,161.004,1.2422,160.986,1.288,160.976,1.30214,160.706,1.00053
167.864,0.83745,167.947,0.82093,167.947,0.73389,168.09,0.71733,167.97,0.84563,167.925,0.83423,167.96,1.05136,168.021,1.26175,167.932,1.36901,167.942,1.37225,167.881,1.25982,167.807,1.18019
174.866,0.70543,174.832,0.80512,175.02,0.70751,175.003,0.78906,174.981,0.78145,174.889,0.90847,174.897,1.08211,175.08,1.28166,174.888,1.31902,174.953,1.38784,174.846,1.17945,174.861,1.0755
181.993,0.63918,181.908,0.64348,181.876,0.67171,181.936,0.77623,181.924,0.79019,182.027,0.91672,181.997,1.10883,181.953,1.31329,181.995,1.36584,181.95,1.69623,181.835,1.33374,181.984,1.0331
189.072,0.69848,188.938,0.61289,188.823,0.72209,188.888,0.78557,188.934,0.81251,189.124,0.88393,189.042,1.06384,188.93,1.33969,189.024,1.40346,188.848,1.59141,188.907,1.32959,188.956,1.3311
196.057,0.67933,195.83,0.48523,195.917,0.65417,195.825,0.79011,195.825,0.82182,196.075,0.96182,196.054,1.10962,195.921,1.29788,195.959,1.40492,195.873,1.61368,195.911,1.38931,195.992,1.53106
202.807,0.69366,202.847,0.51555,202.983,0.72609,202.819,0.79399,202.778,0.82204,203.039,0.95316,203.062,1.15815,202.886,1.32162,202.892,1.63066,202.924,1.55034,202.932,1.53489,203.044,1.52916
209.868,0.56186,209.885,0.64554,210.042,0.64402,209.872,0.91182,209.838,0.79515,209.949,0.98099,209.922,1.06326,209.945,1.29084,210.008,1.80357,209.871,1.34813,209.879,1.60163,210.304,2.0993
